cell,dataset,seed,policy,score,lambda_ref,stratum,stratum_rule,n_k,alpha,gamma,min_threshold_risk,argmin_lambda,n_argmin_thresholds,cost_at_argmin,full_feature_risk,threshold_curve_monotone,n_local_minima,gap_min_minus_alpha,family_p_value,threshold_verdict,min_depth_risk,argmin_depth,risk_at_T,cost_at_argmin_depth,depth_monotonicity_violations,depth_p_value,depth_verdict,is_primary
tabular-adult/eps_greedy_eps0.5/ts0,tabular-adult,0,eps_greedy_eps0.5,softmax,0.9,4,deepest precommitted nonempty,6207,0.2,0.05,0.3082004188819075,0.8989898989898991,11,95.17448271241847,0.3082004188819075,False,6,0.10820041888190751,1.3254252359915536e-90,family-wide failure certified,0.3082004188819075,14,0.3082004188819075,95.27796275593289,1,1.3254252359915536e-90,family-wide failure certified,False
tabular-adult/greedy_entropy/ts0,tabular-adult,0,greedy_entropy,softmax,0.5,1,deepest precommitted nonempty,16280,0.2,0.05,0.1507985257985258,1.0,1,95.10230725784915,0.1507985257985258,False,6,-0.04920147420147422,1.0,feasible,0.1507985257985258,14,0.1507985257985258,95.2779627559329,1,1.0,feasible,False
tabular-adult/greedy_entropy/ts0,tabular-adult,0,greedy_entropy,softmax,0.7,1,deepest precommitted nonempty,16280,0.2,0.05,0.1507985257985258,1.0,1,95.10230725784915,0.1507985257985258,False,6,-0.04920147420147422,1.0,feasible,0.1507985257985258,14,0.1507985257985258,95.2779627559329,1,1.0,feasible,False
tabular-adult/greedy_entropy/ts0,tabular-adult,0,greedy_entropy,softmax,0.9,3,deepest precommitted nonempty,6268,0.2,0.05,0.3090299936183791,0.8686868686868687,3,93.37512721627508,0.309189534141672,False,6,0.10902999361837906,8.733138398189605e-93,family-wide failure certified,0.309189534141672,14,0.309189534141672,95.27796275593289,1,4.8745709501276494e-93,family-wide failure certified,True
tabular-adult/greedy_entropy/ts0[margin],tabular-adult,0,greedy_entropy,margin,0.5,1,deepest precommitted nonempty,16280,0.2,0.05,0.1507985257985258,1.0,1,95.10463726589514,0.1507985257985258,False,16,-0.04920147420147422,1.0,feasible,0.1507985257985258,14,0.1507985257985258,95.2779627559329,1,1.0,feasible,False
tabular-adult/greedy_entropy/ts0[margin],tabular-adult,0,greedy_entropy,margin,0.7,3,deepest precommitted nonempty,5720,0.2,0.05,0.3258741258741259,0.6767676767676768,32,94.28118138421556,0.3258741258741259,False,10,0.1258741258741259,7.103943893294697e-111,family-wide failure certified,0.3258741258741259,14,0.3258741258741259,95.27796275593288,1,7.103943893294697e-111,family-wide failure certified,False
tabular-adult/greedy_entropy/ts0[margin],tabular-adult,0,greedy_entropy,margin,0.9,3,deepest precommitted nonempty,8026,0.2,0.05,0.2775978071268378,0.8989898989898991,11,95.19070306430795,0.2775978071268378,False,16,0.07759780712683778,1.353967685314748e-62,family-wide failure certified,0.2775978071268378,14,0.2775978071268378,95.27796275593292,1,1.353967685314748e-62,family-wide failure certified,False
tabular-adult/random/ts0,tabular-adult,0,random,softmax,0.5,1,deepest precommitted nonempty,16280,0.2,0.05,0.1507985257985258,1.0,1,95.07069774876682,0.1507985257985258,True,2,-0.04920147420147422,1.0,feasible,0.1507985257985258,14,0.1507985257985258,95.2779627559329,0,1.0,feasible,False
tabular-adult/random/ts0,tabular-adult,0,random,softmax,0.7,1,deepest precommitted nonempty,16280,0.2,0.05,0.1507985257985258,1.0,1,95.07069774876682,0.1507985257985258,True,2,-0.04920147420147422,1.0,feasible,0.1507985257985258,14,0.1507985257985258,95.2779627559329,0,1.0,feasible,False
tabular-adult/random/ts0,tabular-adult,0,random,softmax,0.9,4,deepest precommitted nonempty,6044,0.2,0.05,0.3084050297816016,0.9090909090909092,10,95.27796275593288,0.3084050297816016,True,3,0.1084050297816016,1.3648917067129054e-88,family-wide failure certified,0.3084050297816016,14,0.3084050297816016,95.27796275593288,0,1.3648917067129054e-88,family-wide failure certified,False
tabular-adult/greedy_entropy/ts1,tabular-adult,1,greedy_entropy,softmax,0.5,1,deepest precommitted nonempty,16280,0.25,0.05,0.15245700245700244,1.0,1,94.03133054139086,0.15245700245700244,True,3,-0.09754299754299756,1.0,feasible,0.15245700245700244,14,0.15245700245700244,94.21552786140265,2,1.0,feasible,False
tabular-adult/greedy_entropy/ts1,tabular-adult,1,greedy_entropy,softmax,0.7,1,deepest precommitted nonempty,16280,0.25,0.05,0.15245700245700244,1.0,1,94.03133054139086,0.15245700245700244,True,3,-0.09754299754299756,1.0,feasible,0.15245700245700244,14,0.15245700245700244,94.21552786140265,2,1.0,feasible,False
