dataset,policy,lambda_ref,stratum,eval_n,marg_risk_mean,marg_risk_sd,mond_cert_rate,mond_abstain_rate,jointmond_cert_rate,jointmond_abstain_rate,R_full,R_full_lcb95,R_full_ucb95,verdict
tabular-MiniBooNE,greedy_entropy,0.9,1,10511,0.015958570000000002,0.0011639145265439385,1.0,0.0,1.0,0.0,0.014746,0.012865,0.016831,feasible
tabular-MiniBooNE,greedy_entropy,0.9,2,15313,0.08379774000000001,0.0025103710069230797,1.0,0.0,1.0,0.0,0.053876,0.050905,0.056973,feasible
tabular-MiniBooNE,greedy_entropy,0.9,3,10428,0.12158834999999998,0.00479506343936136,1.0,0.0,1.0,0.0,0.0841,0.079668,0.088705,feasible
tabular-MiniBooNE,greedy_entropy,0.9,4,9387,0.42033398999999994,0.013318409691472178,0.0,1.0,0.0,1.0,0.222648,0.215596,0.229828,infeasible
tabular-MiniBooNE,greedy_entropy,0.5,1,46823,0.13958867000000003,0.0014721434988138893,1.0,0.0,1.0,0.0,0.089016,0.08686,0.09121,feasible
tabular-MiniBooNE,greedy_entropy,0.7,1,46823,0.13958867000000003,0.0014721434988138893,1.0,0.0,1.0,0.0,0.089016,0.08686,0.09121,feasible
tabular-MiniBooNE,greedy_entropy,0.9,0,2458,0.029876820000000005,0.0035680340143558046,1.0,0.0,1.0,0.0,0.024003,0.019148,0.029727,feasible
tabular-MiniBooNE,greedy_entropy,0.9,1,15074,0.031442819999999996,0.0013303464239061947,1.0,0.0,1.0,0.0,0.020963,0.01908,0.022986,feasible
tabular-MiniBooNE,greedy_entropy,0.9,2,5536,0.11310104000000001,0.004594447572712089,1.0,0.0,1.0,0.0,0.053107,0.048235,0.058332,feasible
tabular-MiniBooNE,greedy_entropy,0.9,3,14269,0.11404271999999999,0.0025457394096018546,1.0,0.0,1.0,0.0,0.079683,0.075983,0.083511,feasible
tabular-MiniBooNE,greedy_entropy,0.9,4,9486,0.39351392,0.005127438178427898,0.0,1.0,0.0,1.0,0.248999,0.2417,0.256411,infeasible
tabular-MiniBooNE,random,0.5,1,46823,0.14334413999999998,0.004093283178623244,1.0,0.0,1.0,0.0,0.083399,0.081306,0.085531,feasible
tabular-MiniBooNE,random,0.7,1,46823,0.14334413999999998,0.004093283178623244,1.0,0.0,1.0,0.0,0.083399,0.081306,0.085531,feasible
tabular-MiniBooNE,random,0.9,0,6014,0.06824699999999999,0.002729370114147219,1.0,0.0,1.0,0.0,0.043898,0.039634,0.048493,feasible
tabular-MiniBooNE,random,0.9,1,11188,0.06499257,0.002402343477752505,1.0,0.0,1.0,0.0,0.039685,0.036694,0.042856,feasible
tabular-MiniBooNE,random,0.9,2,10604,0.08613075000000002,0.0030453521779098057,1.0,0.0,1.0,0.0,0.048472,0.045087,0.052043,feasible
tabular-MiniBooNE,random,0.9,3,9592,0.14080016,0.0074024316122744405,1.0,0.0,1.0,0.0,0.058486,0.054593,0.06258,feasible
tabular-MiniBooNE,random,0.9,4,9425,0.35125883,0.009485926650628286,0.0,1.0,0.0,1.0,0.225146,0.21808,0.232338,infeasible
tabular-MiniBooNE,random,0.5,1,46823,0.1430007,0.004505686488205764,1.0,0.0,1.0,0.0,0.084766,0.082657,0.086913,feasible
tabular-MiniBooNE,random,0.7,1,46823,0.1430007,0.004505686488205764,1.0,0.0,1.0,0.0,0.084766,0.082657,0.086913,feasible
