cell,R_pool_s0,R_pool_s1,R_pool_s2,R_pool_s3,R_pool_s4,agg_pool_risk,lambda_idx,lambda_ref,pool_cost,resplit
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,26
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,27
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,28
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,29
mnist/eps_greedy_eps0.5/ts0,0.067797,0.060612,0.073451,0.129612,0.359175,0.1471031746031746,78,0.9,21.052896825396825,30
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,31
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,32
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,33
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,34
mnist/eps_greedy_eps0.5/ts0,0.067797,0.060612,0.073451,0.129612,0.359175,0.1471031746031746,78,0.9,21.052896825396825,35
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,36
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,37
mnist/eps_greedy_eps0.5/ts0,0.067797,0.060612,0.073451,0.129612,0.359175,0.1471031746031746,78,0.9,21.052896825396825,38
mnist/eps_greedy_eps0.5/ts0,0.067797,0.060612,0.073451,0.129612,0.359175,0.1471031746031746,78,0.9,21.052896825396825,39
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,40
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,41
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,42
mnist/eps_greedy_eps0.5/ts0,0.067797,0.060612,0.073451,0.129612,0.359175,0.1471031746031746,78,0.9,21.052896825396825,43
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,44
mnist/eps_greedy_eps0.5/ts0,0.067797,0.060612,0.073451,0.129612,0.359175,0.1471031746031746,78,0.9,21.052896825396825,45
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,46
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,47
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,48
mnist/eps_greedy_eps0.5/ts0,0.066332,0.057814,0.065449,0.109248,0.337215,0.13607142857142857,80,0.9,22.311666666666667,49
mnist/eps_greedy_eps0.5/ts0,0.067797,0.060612,0.073451,0.129612,0.359175,0.1471031746031746,78,0.9,21.052896825396825,50
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,51
mnist/eps_greedy_eps0.5/ts0,0.067797,0.060612,0.073451,0.129612,0.359175,0.1471031746031746,78,0.9,21.052896825396825,52
mnist/eps_greedy_eps0.5/ts0,0.067797,0.060612,0.073451,0.129612,0.359175,0.1471031746031746,78,0.9,21.052896825396825,53
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,54
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,55
mnist/eps_greedy_eps0.5/ts0,0.067797,0.060612,0.073451,0.129612,0.359175,0.1471031746031746,78,0.9,21.052896825396825,56
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,57
mnist/eps_greedy_eps0.5/ts0,0.066332,0.057814,0.065449,0.109248,0.337215,0.13607142857142857,80,0.9,22.311666666666667,58
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,59
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,60
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,61
